,Interval_Start,Interval_End,(05000) Portal Américas,(05100) Banderas P. Central,(12007) Zona Industrial,(12002) CDS - Carrera 32,(07109) CAD,(07107) U. NACIONAL,(07104) Simon Bolivar,(07103) AV. CHILE,(07101) CASTELLANA,(02205) Calle 106,(02204) Pepe Sierra,(02201) Prado,(02000) Cabecera Autopista Norte
0,2019-11-10T00:00:00,2019-11-10T00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-11-10T00:15:00,2019-11-10T00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-11-10T00:30:00,2019-11-10T00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-11-10T00:45:00,2019-11-10T01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-11-10T01:00:00,2019-11-10T01:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-11-10T01:15:00,2019-11-10T01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-11-10T01:30:00,2019-11-10T01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-11-10T01:45:00,2019-11-10T02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019-11-10T02:00:00,2019-11-10T02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-11-10T02:15:00,2019-11-10T02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019-11-10T02:30:00,2019-11-10T02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-11-10T02:45:00,2019-11-10T03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-11-10T03:00:00,2019-11-10T03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-11-10T03:15:00,2019-11-10T03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-11-10T03:30:00,2019-11-10T03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-11-10T03:45:00,2019-11-10T04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2019-11-10T04:00:00,2019-11-10T04:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2019-11-10T04:15:00,2019-11-10T04:30:00,12,0,0,0,0,0,0,0,0,0,0,0,0
18,2019-11-10T04:30:00,2019-11-10T04:45:00,18,2,0,0,0,0,0,0,0,0,0,0,0
19,2019-11-10T04:45:00,2019-11-10T05:00:00,106,6,0,0,0,0,0,0,0,0,0,0,0
20,2019-11-10T05:00:00,2019-11-10T05:15:00,148,18,0,0,0,0,0,0,0,0,0,0,0
21,2019-11-10T05:15:00,2019-11-10T05:30:00,152,14,0,0,0,0,0,0,0,0,0,0,0
22,2019-11-10T05:30:00,2019-11-10T05:45:00,130,26,0,2,0,2,2,0,0,0,0,4,0
23,2019-11-10T05:45:00,2019-11-10T06:00:00,164,30,0,0,2,2,0,0,0,2,0,8,0
