,Interval_Start,Interval_End,(05000) Portal Américas,(05100) Banderas P. Central,(12007) Zona Industrial,(12002) CDS - Carrera 32,(07109) CAD,(07107) U. NACIONAL,(07104) Simon Bolivar,(07103) AV. CHILE,(07101) CASTELLANA,(02205) Calle 106,(02204) Pepe Sierra,(02201) Prado,Portal Norte
56,2020-01-06T14:00:00,2020-01-06T14:15:00,24,6,4,0,4,0,0,0,0,0,0,0,0
57,2020-01-06T14:15:00,2020-01-06T14:30:00,14,4,0,0,0,0,0,0,0,0,0,0,0
58,2020-01-06T14:30:00,2020-01-06T14:45:00,18,2,0,0,0,0,2,0,0,0,0,0,0
59,2020-01-06T14:45:00,2020-01-06T15:00:00,28,6,0,0,2,0,0,0,0,0,0,0,0
60,2020-01-06T15:00:00,2020-01-06T15:15:00,6,0,0,0,2,0,0,0,0,0,0,0,0
61,2020-01-06T15:15:00,2020-01-06T15:30:00,16,0,2,0,0,0,0,0,0,0,0,0,0
62,2020-01-06T15:30:00,2020-01-06T15:45:00,22,0,0,0,0,0,0,0,0,0,0,0,0
63,2020-01-06T15:45:00,2020-01-06T16:00:00,18,4,0,0,2,2,0,0,0,0,0,0,0
64,2020-01-06T16:00:00,2020-01-06T16:15:00,24,4,0,0,0,0,0,0,0,0,4,0,0
65,2020-01-06T16:15:00,2020-01-06T16:30:00,24,2,0,0,0,0,0,0,2,0,0,0,0
66,2020-01-06T16:30:00,2020-01-06T16:45:00,30,4,0,0,2,0,0,0,0,2,0,0,0
67,2020-01-06T16:45:00,2020-01-06T17:00:00,16,6,0,0,0,0,0,2,0,0,0,0,0
68,2020-01-06T17:00:00,2020-01-06T17:15:00,20,4,0,0,0,0,0,0,0,0,0,0,0
69,2020-01-06T17:15:00,2020-01-06T17:30:00,16,2,0,0,0,0,0,0,0,0,0,0,0
70,2020-01-06T17:30:00,2020-01-06T17:45:00,2,2,0,0,0,0,0,0,0,0,0,0,0
71,2020-01-06T17:45:00,2020-01-06T18:00:00,14,6,0,0,0,0,0,0,0,0,0,0,0
72,2020-01-06T18:00:00,2020-01-06T18:15:00,12,2,0,0,2,0,0,0,0,0,0,0,0
73,2020-01-06T18:15:00,2020-01-06T18:30:00,8,6,0,0,0,0,0,0,0,0,6,0,0
74,2020-01-06T18:30:00,2020-01-06T18:45:00,10,2,0,0,0,0,0,0,0,0,2,0,0
75,2020-01-06T18:45:00,2020-01-06T19:00:00,8,10,0,0,0,2,0,2,0,0,0,0,0
76,2020-01-06T19:00:00,2020-01-06T19:15:00,6,2,0,0,0,0,2,0,0,2,0,0,0
77,2020-01-06T19:15:00,2020-01-06T19:30:00,8,0,0,0,0,0,0,2,0,0,2,0,0
78,2020-01-06T19:30:00,2020-01-06T19:45:00,2,0,0,0,0,0,0,2,0,0,0,0,0
79,2020-01-06T19:45:00,2020-01-06T20:00:00,6,2,0,0,0,0,0,2,0,0,2,0,0
80,2020-01-06T20:00:00,2020-01-06T20:15:00,8,2,0,0,2,0,0,0,0,0,0,0,0
81,2020-01-06T20:15:00,2020-01-06T20:30:00,8,4,0,0,0,0,0,0,0,0,2,0,0
82,2020-01-06T20:30:00,2020-01-06T20:45:00,0,0,0,0,0,2,0,0,0,0,0,0,0
83,2020-01-06T20:45:00,2020-01-06T21:00:00,8,0,0,0,0,0,0,0,0,0,0,0,0
84,2020-01-06T21:00:00,2020-01-06T21:15:00,8,0,0,0,2,0,0,0,0,0,0,0,0
85,2020-01-06T21:15:00,2020-01-06T21:30:00,4,0,0,0,0,0,0,0,0,0,0,0,0
86,2020-01-06T21:30:00,2020-01-06T21:45:00,4,0,0,0,0,0,0,0,0,0,0,0,0
87,2020-01-06T21:45:00,2020-01-06T22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2020-01-06T22:00:00,2020-01-06T22:15:00,0,0,0,0,0,2,0,0,0,0,0,0,0
89,2020-01-06T22:15:00,2020-01-06T22:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2020-01-06T22:30:00,2020-01-06T22:45:00,2,0,0,0,0,0,0,0,0,0,0,0,0
91,2020-01-06T22:45:00,2020-01-06T23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2020-01-06T23:00:00,2020-01-06T23:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2020-01-06T23:15:00,2020-01-06T23:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2020-01-06T23:30:00,2020-01-06T23:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2020-01-06T23:45:00,2020-01-07T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
