,Interval_Start,Interval_End,(05000) Portal Américas,(05100) Banderas P. Central,(12007) Zona Industrial,(12002) CDS - Carrera 32,(07109) CAD,(07107) U. NACIONAL,(07104) Simon Bolivar,(07103) AV. CHILE,(07101) CASTELLANA,(02205) Calle 106,(02204) Pepe Sierra,(02201) Prado,(02000) Cabecera Autopista Norte
0,2020-02-16T00:00:00,2020-02-16T00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-02-16T00:15:00,2020-02-16T00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02-16T00:30:00,2020-02-16T00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-02-16T00:45:00,2020-02-16T01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-02-16T01:00:00,2020-02-16T01:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-02-16T01:15:00,2020-02-16T01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-02-16T01:30:00,2020-02-16T01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-02-16T01:45:00,2020-02-16T02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-02-16T02:00:00,2020-02-16T02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-02-16T02:15:00,2020-02-16T02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020-02-16T02:30:00,2020-02-16T02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-02-16T02:45:00,2020-02-16T03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020-02-16T03:00:00,2020-02-16T03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2020-02-16T03:15:00,2020-02-16T03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-02-16T03:30:00,2020-02-16T03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020-02-16T03:45:00,2020-02-16T04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2020-02-16T04:00:00,2020-02-16T04:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2020-02-16T04:15:00,2020-02-16T04:30:00,14,0,0,0,0,0,0,0,0,0,0,0,0
18,2020-02-16T04:30:00,2020-02-16T04:45:00,20,0,0,0,0,0,0,0,0,0,0,0,0
19,2020-02-16T04:45:00,2020-02-16T05:00:00,96,10,0,0,0,0,0,0,0,0,0,0,0
20,2020-02-16T05:00:00,2020-02-16T05:15:00,128,12,0,0,2,0,0,0,0,0,0,0,0
21,2020-02-16T05:15:00,2020-02-16T05:30:00,106,18,0,0,0,4,0,0,0,0,0,0,0
22,2020-02-16T05:30:00,2020-02-16T05:45:00,104,22,0,0,2,0,4,0,4,0,0,2,0
23,2020-02-16T05:45:00,2020-02-16T06:00:00,128,18,0,0,2,2,2,2,0,0,4,4,0
24,2020-02-16T06:00:00,2020-02-16T06:15:00,128,18,0,0,0,0,0,0,0,0,0,0,0
25,2020-02-16T06:15:00,2020-02-16T06:30:00,136,42,0,0,8,0,2,4,2,0,4,2,0
26,2020-02-16T06:30:00,2020-02-16T06:45:00,152,38,0,2,2,2,2,0,2,0,2,6,0
27,2020-02-16T06:45:00,2020-02-16T07:00:00,100,22,0,0,0,0,0,2,2,2,0,6,0
28,2020-02-16T07:00:00,2020-02-16T07:15:00,98,40,0,0,2,0,0,6,0,0,0,6,0
29,2020-02-16T07:15:00,2020-02-16T07:30:00,98,50,0,0,12,2,2,2,0,0,2,8,0
30,2020-02-16T07:30:00,2020-02-16T07:45:00,98,30,0,0,8,2,4,6,0,0,2,2,0
31,2020-02-16T07:45:00,2020-02-16T08:00:00,84,22,0,0,10,0,4,2,2,0,4,6,0
32,2020-02-16T08:00:00,2020-02-16T08:15:00,90,50,0,0,0,2,0,6,0,4,0,6,0
33,2020-02-16T08:15:00,2020-02-16T08:30:00,106,18,0,0,2,2,4,2,2,0,2,4,0
34,2020-02-16T08:30:00,2020-02-16T08:45:00,106,36,0,0,2,2,2,2,0,2,4,12,0
35,2020-02-16T08:45:00,2020-02-16T09:00:00,72,26,0,0,16,8,2,2,2,6,0,2,0
36,2020-02-16T09:00:00,2020-02-16T09:15:00,106,20,0,0,12,4,4,2,0,4,2,2,0
37,2020-02-16T09:15:00,2020-02-16T09:30:00,92,26,0,2,6,0,2,8,0,2,4,0,0
38,2020-02-16T09:30:00,2020-02-16T09:45:00,78,12,0,0,8,6,2,2,2,2,2,4,0
39,2020-02-16T09:45:00,2020-02-16T10:00:00,66,22,0,0,6,10,0,2,0,2,0,4,0
40,2020-02-16T10:00:00,2020-02-16T10:15:00,66,18,0,4,6,4,2,0,0,2,10,10,0
41,2020-02-16T10:15:00,2020-02-16T10:30:00,72,20,0,0,6,8,4,6,0,2,4,12,0
42,2020-02-16T10:30:00,2020-02-16T10:45:00,64,40,2,0,4,8,2,2,0,4,4,12,0
43,2020-02-16T10:45:00,2020-02-16T11:00:00,48,28,2,0,6,6,2,4,0,2,6,6,0
44,2020-02-16T11:00:00,2020-02-16T11:15:00,52,14,2,0,10,16,4,0,2,4,6,0,0
45,2020-02-16T11:15:00,2020-02-16T11:30:00,70,16,0,0,2,4,0,2,0,0,8,8,0
46,2020-02-16T11:30:00,2020-02-16T11:45:00,34,20,0,0,12,12,10,2,0,6,8,2,0
47,2020-02-16T11:45:00,2020-02-16T12:00:00,52,8,2,0,10,2,2,2,0,2,0,18,0
48,2020-02-16T12:00:00,2020-02-16T12:15:00,50,16,0,0,2,2,2,6,0,0,4,2,0
49,2020-02-16T12:15:00,2020-02-16T12:30:00,34,10,0,0,10,8,4,2,2,6,6,2,0
50,2020-02-16T12:30:00,2020-02-16T12:45:00,46,22,2,0,2,8,4,8,2,2,6,4,0
51,2020-02-16T12:45:00,2020-02-16T13:00:00,42,14,2,0,16,4,0,12,2,0,0,20,0
52,2020-02-16T13:00:00,2020-02-16T13:15:00,32,32,0,2,18,10,4,2,0,8,10,20,0
53,2020-02-16T13:15:00,2020-02-16T13:30:00,40,24,0,0,26,4,8,2,0,4,2,18,0
54,2020-02-16T13:30:00,2020-02-16T13:45:00,44,12,0,0,2,4,2,4,0,2,2,6,0
55,2020-02-16T13:45:00,2020-02-16T14:00:00,24,10,0,0,10,2,10,6,0,2,4,6,0
56,2020-02-16T14:00:00,2020-02-16T14:15:00,26,12,0,0,16,2,2,6,4,0,2,8,0
57,2020-02-16T14:15:00,2020-02-16T14:30:00,26,20,0,0,0,4,2,6,0,4,8,12,0
58,2020-02-16T14:30:00,2020-02-16T14:45:00,38,30,2,0,4,4,0,2,0,4,4,4,0
59,2020-02-16T14:45:00,2020-02-16T15:00:00,24,2,4,0,6,0,2,4,0,8,4,6,0
60,2020-02-16T15:00:00,2020-02-16T15:15:00,32,2,2,0,4,4,0,4,0,2,8,14,0
61,2020-02-16T15:15:00,2020-02-16T15:30:00,36,10,4,0,8,2,6,8,0,8,6,4,0
62,2020-02-16T15:30:00,2020-02-16T15:45:00,38,12,2,0,2,6,2,0,4,8,8,0,0
63,2020-02-16T15:45:00,2020-02-16T16:00:00,20,8,2,0,2,6,2,2,0,4,0,10,0
64,2020-02-16T16:00:00,2020-02-16T16:15:00,38,8,2,0,2,0,6,4,0,6,16,6,0
65,2020-02-16T16:15:00,2020-02-16T16:30:00,66,30,4,0,6,2,0,6,2,0,2,12,0
66,2020-02-16T16:30:00,2020-02-16T16:45:00,44,14,0,0,0,2,2,10,0,10,6,4,0
67,2020-02-16T16:45:00,2020-02-16T17:00:00,42,14,2,0,6,2,0,4,0,4,4,12,0
68,2020-02-16T17:00:00,2020-02-16T17:15:00,32,12,0,0,4,6,2,10,6,2,8,2,0
69,2020-02-16T17:15:00,2020-02-16T17:30:00,24,12,0,0,2,4,2,4,0,2,8,4,0
70,2020-02-16T17:30:00,2020-02-16T17:45:00,24,14,0,2,2,6,4,0,0,10,10,6,0
71,2020-02-16T17:45:00,2020-02-16T18:00:00,48,20,4,0,2,6,4,6,0,8,12,4,0
72,2020-02-16T18:00:00,2020-02-16T18:15:00,28,4,0,0,4,6,2,6,0,4,6,6,0
73,2020-02-16T18:15:00,2020-02-16T18:30:00,38,14,0,0,2,4,2,10,0,10,10,6,0
74,2020-02-16T18:30:00,2020-02-16T18:45:00,26,14,0,0,4,4,0,2,0,2,8,10,0
75,2020-02-16T18:45:00,2020-02-16T19:00:00,30,14,4,0,12,16,6,10,0,4,4,16,0
76,2020-02-16T19:00:00,2020-02-16T19:15:00,40,24,0,0,22,0,0,2,0,6,6,8,0
77,2020-02-16T19:15:00,2020-02-16T19:30:00,32,2,0,0,4,8,2,2,0,12,4,10,0
78,2020-02-16T19:30:00,2020-02-16T19:45:00,30,12,0,2,8,6,2,0,0,4,0,4,0
79,2020-02-16T19:45:00,2020-02-16T20:00:00,14,20,0,0,14,4,0,4,0,2,4,4,0
80,2020-02-16T20:00:00,2020-02-16T20:15:00,38,6,4,0,4,2,4,0,2,0,6,2,0
81,2020-02-16T20:15:00,2020-02-16T20:30:00,18,14,0,2,2,8,4,2,2,2,6,2,0
82,2020-02-16T20:30:00,2020-02-16T20:45:00,18,10,0,0,2,4,4,2,0,2,8,6,0
83,2020-02-16T20:45:00,2020-02-16T21:00:00,14,2,0,0,2,2,2,2,0,2,2,4,0
84,2020-02-16T21:00:00,2020-02-16T21:15:00,18,2,0,0,0,4,0,4,0,0,6,4,0
