,Interval_Start,Interval_End,(05000) Portal Américas,(05100) Banderas P. Central,(12007) Zona Industrial,(12002) CDS - Carrera 32,(07109) CAD,(07107) U. NACIONAL,(07104) Simon Bolivar,(07103) AV. CHILE,(07101) CASTELLANA,(02205) Calle 106,(02204) Pepe Sierra,(02201) Prado,(02000) Cabecera Autopista Norte
0,2018-04-22T00:00:00,2018-04-22T00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018-04-22T00:15:00,2018-04-22T00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018-04-22T00:30:00,2018-04-22T00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018-04-22T00:45:00,2018-04-22T01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018-04-22T01:00:00,2018-04-22T01:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018-04-22T01:15:00,2018-04-22T01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018-04-22T01:30:00,2018-04-22T01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018-04-22T01:45:00,2018-04-22T02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018-04-22T02:00:00,2018-04-22T02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018-04-22T02:15:00,2018-04-22T02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018-04-22T02:30:00,2018-04-22T02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018-04-22T02:45:00,2018-04-22T03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018-04-22T03:00:00,2018-04-22T03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018-04-22T03:15:00,2018-04-22T03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018-04-22T03:30:00,2018-04-22T03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018-04-22T03:45:00,2018-04-22T04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2018-04-22T04:00:00,2018-04-22T04:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2018-04-22T04:15:00,2018-04-22T04:30:00,4,0,0,0,0,0,0,0,0,0,0,0,0
18,2018-04-22T04:30:00,2018-04-22T04:45:00,10,0,0,0,0,0,0,0,0,0,0,0,0
19,2018-04-22T04:45:00,2018-04-22T05:00:00,54,2,0,0,0,0,0,0,0,0,0,0,0
20,2018-04-22T05:00:00,2018-04-22T05:15:00,104,10,0,0,0,0,0,0,0,0,0,0,0
21,2018-04-22T05:15:00,2018-04-22T05:30:00,104,8,0,0,0,0,0,0,0,0,0,0,0
22,2018-04-22T05:30:00,2018-04-22T05:45:00,98,12,2,0,0,0,0,4,0,0,0,8,0
23,2018-04-22T05:45:00,2018-04-22T06:00:00,86,24,0,0,2,0,0,0,4,0,0,2,0
24,2018-04-22T06:00:00,2018-04-22T06:15:00,124,20,0,4,4,2,0,4,0,2,2,0,0
25,2018-04-22T06:15:00,2018-04-22T06:30:00,104,34,0,0,6,4,0,4,0,0,2,2,0
26,2018-04-22T06:30:00,2018-04-22T06:45:00,144,30,0,0,2,2,0,10,0,6,2,0,0
27,2018-04-22T06:45:00,2018-04-22T07:00:00,112,22,2,0,6,10,4,4,0,2,2,8,0
28,2018-04-22T07:00:00,2018-04-22T07:15:00,86,36,0,2,2,0,0,2,0,4,0,6,0
29,2018-04-22T07:15:00,2018-04-22T07:30:00,92,34,0,0,6,2,2,4,2,4,0,4,0
30,2018-04-22T07:30:00,2018-04-22T07:45:00,86,34,2,0,2,2,0,6,0,2,0,12,0
31,2018-04-22T07:45:00,2018-04-22T08:00:00,112,24,0,0,2,2,2,6,0,4,2,2,0
32,2018-04-22T08:00:00,2018-04-22T08:15:00,66,30,0,0,0,4,2,2,0,0,0,4,0
33,2018-04-22T08:15:00,2018-04-22T08:30:00,112,30,0,0,2,6,2,8,0,0,2,4,0
34,2018-04-22T08:30:00,2018-04-22T08:45:00,110,38,2,0,0,6,2,4,0,2,6,4,0
35,2018-04-22T08:45:00,2018-04-22T09:00:00,106,18,0,0,6,2,2,6,2,4,4,2,0
36,2018-04-22T09:00:00,2018-04-22T09:15:00,88,20,0,0,20,10,2,10,0,4,2,4,0
37,2018-04-22T09:15:00,2018-04-22T09:30:00,96,22,0,0,20,2,2,2,0,2,2,12,0
38,2018-04-22T09:30:00,2018-04-22T09:45:00,64,26,0,0,6,6,0,2,0,2,2,6,0
39,2018-04-22T09:45:00,2018-04-22T10:00:00,42,28,0,0,6,4,0,4,4,0,0,4,0
40,2018-04-22T10:00:00,2018-04-22T10:15:00,66,18,0,0,4,4,2,4,0,2,2,6,0
41,2018-04-22T10:15:00,2018-04-22T10:30:00,46,48,0,0,0,4,0,4,0,8,4,12,0
42,2018-04-22T10:30:00,2018-04-22T10:45:00,56,26,0,0,12,2,0,4,0,4,6,6,0
43,2018-04-22T10:45:00,2018-04-22T11:00:00,48,28,0,0,0,4,2,6,0,2,0,10,0
44,2018-04-22T11:00:00,2018-04-22T11:15:00,58,20,4,2,6,4,6,2,2,6,6,10,0
45,2018-04-22T11:15:00,2018-04-22T11:30:00,30,12,0,0,14,4,6,4,0,2,0,8,0
46,2018-04-22T11:30:00,2018-04-22T11:45:00,38,2,0,0,8,6,6,4,0,14,4,4,0
47,2018-04-22T11:45:00,2018-04-22T12:00:00,36,20,2,4,10,2,0,0,0,4,4,8,0
48,2018-04-22T12:00:00,2018-04-22T12:15:00,44,8,0,0,2,6,2,6,0,2,2,8,0
49,2018-04-22T12:15:00,2018-04-22T12:30:00,32,12,2,0,2,0,4,4,6,0,6,12,0
50,2018-04-22T12:30:00,2018-04-22T12:45:00,30,20,2,0,6,4,0,2,2,2,6,18,0
51,2018-04-22T12:45:00,2018-04-22T13:00:00,34,10,2,0,10,2,4,0,2,2,4,22,0
52,2018-04-22T13:00:00,2018-04-22T13:15:00,46,16,4,0,16,12,4,12,2,0,2,4,0
53,2018-04-22T13:15:00,2018-04-22T13:30:00,30,14,0,0,22,6,0,6,0,8,0,8,0
54,2018-04-22T13:30:00,2018-04-22T13:45:00,36,12,2,0,18,2,8,4,2,4,0,4,0
55,2018-04-22T13:45:00,2018-04-22T14:00:00,24,14,2,0,14,0,2,4,0,2,4,2,0
56,2018-04-22T14:00:00,2018-04-22T14:15:00,22,10,0,2,10,0,2,2,0,2,8,4,0
57,2018-04-22T14:15:00,2018-04-22T14:30:00,26,6,0,0,6,6,12,4,0,12,0,8,0
58,2018-04-22T14:30:00,2018-04-22T14:45:00,26,16,2,0,4,6,6,8,0,2,2,0,0
59,2018-04-22T14:45:00,2018-04-22T15:00:00,34,6,0,0,4,4,2,6,0,6,6,6,0
