,Interval_Start,Interval_End,(05000) Portal Américas,(05100) Banderas P. Central,(12007) Zona Industrial,(12002) CDS - Carrera 32,(07109) CAD,(07107) U. NACIONAL,(07104) Simon Bolivar,(07103) AV. CHILE,(07101) CASTELLANA,(02205) Calle 106,(02204) Pepe Sierra,(02201) Prado,(02000) Cabecera Autopista Norte
0,2019-05-18T00:00:00,2019-05-18T00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-05-18T00:15:00,2019-05-18T00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-05-18T00:30:00,2019-05-18T00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-05-18T00:45:00,2019-05-18T01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-05-18T01:00:00,2019-05-18T01:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-05-18T01:15:00,2019-05-18T01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-05-18T01:30:00,2019-05-18T01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-05-18T01:45:00,2019-05-18T02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019-05-18T02:00:00,2019-05-18T02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-05-18T02:15:00,2019-05-18T02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019-05-18T02:30:00,2019-05-18T02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-05-18T02:45:00,2019-05-18T03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-05-18T03:00:00,2019-05-18T03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-05-18T03:15:00,2019-05-18T03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-05-18T03:30:00,2019-05-18T03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-05-18T03:45:00,2019-05-18T04:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0
16,2019-05-18T04:00:00,2019-05-18T04:15:00,20,2,0,0,0,0,0,0,0,0,0,0,0
17,2019-05-18T04:15:00,2019-05-18T04:30:00,350,28,0,0,0,0,0,0,0,0,0,0,0
18,2019-05-18T04:30:00,2019-05-18T04:45:00,320,34,0,0,0,0,0,0,0,0,0,0,0
19,2019-05-18T04:45:00,2019-05-18T05:00:00,604,68,0,0,4,2,0,0,2,0,0,0,0
20,2019-05-18T05:00:00,2019-05-18T05:15:00,600,74,0,0,2,0,4,0,2,0,2,0,0
21,2019-05-18T05:15:00,2019-05-18T05:30:00,620,74,0,0,6,0,0,2,2,0,0,2,0
22,2019-05-18T05:30:00,2019-05-18T05:45:00,538,92,2,0,0,2,4,6,8,2,0,4,0
23,2019-05-18T05:45:00,2019-05-18T06:00:00,594,138,2,2,6,2,10,6,4,2,4,8,0
24,2019-05-18T06:00:00,2019-05-18T06:15:00,612,144,0,2,8,12,6,12,4,2,0,12,0
25,2019-05-18T06:15:00,2019-05-18T06:30:00,594,168,6,4,12,6,2,8,2,2,10,20,0
