Estaciones_Objetivo
(05000) Portal Américas
(05100) Banderas P. Central
(12007) Zona Industrial
(12002) CDS - Carrera 32
(07109) CAD
(07107) U. NACIONAL
(07104) Simon Bolivar
(07103) AV. CHILE
(07101) CASTELLANA
(02205) Calle 106
(02204) Pepe Sierra
(02201) Prado
Portal Norte
